"","country","wins","percent","return","rundate"
"1","Germany",176,0.176,5.68181818181818,"FIXED"
"2","Brazil",171,0.171,5.84795321637427,"FIXED"
"3","Spain",157,0.157,6.36942675159236,"FIXED"
"4","Portugal",80,0.08,12.5,"FIXED"
"5","France",71,0.071,14.0845070422535,"FIXED"
"6","England",66,0.066,15.1515151515152,"FIXED"
"7","Argentina",49,0.049,20.4081632653061,"FIXED"
"8","Belgium",45,0.045,22.2222222222222,"FIXED"
"9","Colombia",28,0.028,35.7142857142857,"FIXED"
"10","Peru",24,0.024,41.6666666666667,"FIXED"
"11","Uruguay",23,0.023,43.4782608695652,"FIXED"
"12","Switzerland",22,0.022,45.4545454545455,"FIXED"
"13","Denmark",18,0.018,55.5555555555556,"FIXED"
"14","Croatia",14,0.014,71.4285714285714,"FIXED"
"15","Mexico",12,0.012,83.3333333333333,"FIXED"
"16","Poland",12,0.012,83.3333333333333,"FIXED"
"17","Iceland",6,0.006,166.666666666667,"FIXED"
"18","Sweden",6,0.006,166.666666666667,"FIXED"
"19","Iran",5,0.005,200,"FIXED"
"20","Russia",3,0.003,333.333333333333,"FIXED"
"21","Serbia",3,0.003,333.333333333333,"FIXED"
"22","Nigeria",2,0.002,500,"FIXED"
"23","South Korea",2,0.002,500,"FIXED"
"24","Australia",1,0.001,1000,"FIXED"
"25","Japan",1,0.001,1000,"FIXED"
"26","Morocco",1,0.001,1000,"FIXED"
"27","Panama",1,0.001,1000,"FIXED"
"28","Senegal",1,0.001,1000,"FIXED"
